"Reference","Value","Qty"
"BZ1","Buzzer","1"                      - missing, need footprint
"C1,C6,C7,C8","10u","4"                 - missing, use C_0805 footprint
"C2,C9,C10,C11","22u","4"               - missing(should be electrolytic or tantal), need footprint
"C3","100n","1"                         - use C_0805 footprint
"C4,C5","22p","2"                       - use C_0805 footprint
"D1","LOCK_LED","1"                     - use LED_0805 footprint
"D2,D3,D4,D5,D15","1N4001","5"          - missing, need footprint
"D6","UNLOCK_LED","1"                   - use LED_0805 footprint
"D7","SEL_LED1","1"                     - use LED_0805 footprint
"D8","SEL_LED2","1"                     - use LED_0805 footprint
"D9","SEL_LED3","1"                     - use LED_0805 footprint
"D10","SEL_LED4","1"                    - use LED_0805 footprint
"D11","RELAY_LED1","1"                  - use LED_0805 footprint
"D12","RELAY_LED2","1"                  - use LED_0805 footprint
"D13","RELAY_LED3","1"                  - use LED_0805 footprint
"D14","RELAY_LED4","1"                  - use LED_0805 footprint
"J1","5VDC_INPUT","1"                   - missing (should be conn 01x02)
"J2","PROG","1"                         - missing (should be conn 01x05)
"J3","Conn_01x02","1"                   - missing
"J4","Conn_01x04","1"                   - missing
"K1,K2,K3,K4","Relay_SPST-NO","4"
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q19","BC817","15"
"Q15,Q16,Q17,Q18","BC807","4"
"R1","1k","1"                           - missing
"R2,R47,R56","10k","3"                  - missing
"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R61,R62,R63,R64,R65","2k2","27"       - missing
"R25,R26,R27,R28,R29,R30,R31,R32,R48,R49,R50,R51,R52,R53,R54,R55,R67,R68","330R","18"                                   - missing
"R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R57,R58,R59,R60,R66","47k","19"                                - missing
"SW1","Reset_SW","1"
"SW2","Relay1_SW","1"
"SW3","Relay2_SW","1"
"SW4","Relay3_SW","1"
"SW5","Relay4_SW","1"
"SW6","Clear_SW","1"
"SW7","Hours_SW","1"
"SW8","Minutes_SW","1"
"SW9","Unlock_SW","1"                   - missing (should be of a slider type)
"U1","PIC18F25Q10","1"
"U2,U3,U5","74HC595","3"
"U4","KW4-804AVB","1"
"Y1","8MHz","1"
