"Reference","Value","Qty"
"BT1","CR2032","1"
"BZ1","Buzzer","1"
"C1,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C19,C22","100n","16"
"C2,C3","22p","2"
"C4","3.3u","1"
"C18","10u 16V","1"
"C20","47u 16V","1"
"C21","10u","1"
"C23","22u 16V","1"
"D1,D2,D3,D4,D15","S1G","5"
"D5","RELAY_LED1","1"
"D6","RELAY_LED2","1"
"D7","RELAY_LED3","1"
"D8","RELAY_LED4","1"
"D9","SEL_LED1","1"
"D10","SEL_LED2","1"
"D11","SEL_LED3","1"
"D12","SEL_LED4","1"
"D13","LOCK_LED","1"
"D14","UNLOCK_LED","1"
"D16","6V","1"
"F1","5V 500mA","1"
"J1","Conn_01x05","1"
"J2","230VAC_IN","1"
"J3","Conn_01x04","1"
"J4","5VDC_IN","1"
"K1,K2,K3,K4","AZ9371T-1A-5D","4"
"PS1","IRM-03-5","1"
"Q1,Q2,Q3,Q4,Q9,Q13,Q14","BC817","7"
"Q5,Q6,Q7,Q8","BC807","4"
"R1,R55","1k","2"
"R2,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R54,R58,R59,R62,R63","10k","17"
"R3,R4,R57","4k7","3"
"R16,R19,R21,R23,R32,R33,R34,R35,R49,R52","47k","10"
"R17,R18,R20,R22,R36,R37,R38,R39,R48,R51,R56","2k2","11"
"R24,R25,R26,R27,R28,R29,R30,R31,R40,R41,R42,R43,R44,R45,R46,R47,R50,R53,R66,R67,R68,R69,R70,R71,R72,R73,R74","330R","27"
"R60,R61","10","2"
"RV1","400V","1"
"SW1","Reset_SW","1"
"SW2","Clear_SW","1"
"SW3","Minutes_SW","1"
"SW4","Hours_SW","1"
"SW5","Mode_SW","1"
"SW6","Relay1_SW","1"
"SW7","Relay2_SW","1"
"SW8","Relay3_SW","1"
"SW9","Relay4_SW","1"
"SW10","Unlock_SW","1"
"U1","PIC18F25Q10","1"
"U2","PCF8523T","1"
"U3","74LS166","1"
"U4,U5,U8","74HC595","3"
"U6","ULN2803A","1"
"U7","KW4-804AVB","1"
"Y1","8MHz","1"
"Y2","32.768kHz","1"
